"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"Ihgrgf","poland_pl","Astronauci","Q931113","pl","poland","gpt","Nadmierna rywalizacja i brak współpracy mogą prowadzić do zagłady całej cywilizacji.","Excessive competition and lack of cooperation can lead to the downfall of an entire civilization."
"NWhstH","japan_pl","砂の女","Q6455599","pl","japan","gpt","Czasami akceptacja trudnej sytuacji i współpraca z innymi mogą prowadzić do wewnętrznego spokoju i poczucia przynależności.","Sometimes accepting a difficult situation and collaborating with others can lead to inner peace and a sense of belonging."
"nXbdzp","israel_pl","רצח בדרך בית לחם","Q5708155","pl","israel","gpt","Nie pozwól, aby uprzedzenia i nierozwiązane konflikty z przeszłości zniszczyły relacje i życie ludzi wokół ciebie.","""Do not let prejudices and unresolved conflicts from the past destroy the relationships and lives of people around you."""
"wkgIEt","brazil_pl","Leite Derramado","Q6520356","pl","brazil","gpt","Nieuleczalna zazdrość i uprzedzenia mogą prowadzić do osobistego i rodzinnego upadku, pozostawiając po sobie jedynie żal i niespełnione życie.","Incurable jealousy and prejudice can lead to personal and familial downfall, leaving behind only regret and an unfulfilled life."
"FNbhSW","sweden_pl","Juloratoriet","Q10541297","pl","sweden","gpt","Życie wypełnione jest stratami i niepewnością, ale ważne jest, by stawić czoła rzeczywistości i nie uciekać w iluzje, ponieważ tylko akceptacja prawdy pozwala na prawdziwe uzdrowienie i zrozumienie siebie oraz innych.","Life is filled with losses and uncertainty, but it is important to face reality and not escape into illusions, because only acceptance of the truth allows for true healing and understanding of oneself and others."
"cituuw","netherlands_pl","De Cock en een strop voor Bobby","Q2396544","pl","netherlands","gpt","Prawda i sprawiedliwość mogą wymagać odwagi i determinacji, ale warto dążyć do ich ujawnienia, nawet jeśli wymaga to poświęceń.","Truth and justice may require courage and determination, but it is worth striving to reveal them, even if it requires sacrifices."
"cRarNQ","czechrepublic_pl","Konec punku v Helsinkách","Q12030020","pl","czechrepublic","gpt","Przeszłość i wspomnienia mogą kształtować nasze życie, ale to nasze wybory i działania decydują o naszej przyszłości.","The past and memories can shape our lives, but it is our choices and actions that determine our future."
"HbInwX","egypt_pl","عزازيل (رواية)
","Q8134681","pl","egypt","gpt","Poszukiwanie prawdy i sensu życia wymaga odwagi do kwestionowania własnych przekonań i gotowości do podążania za głosem serca, nawet jeśli oznacza to porzucenie dotychczasowych ścieżek.","The search for truth and the meaning of life requires the courage to question one's own beliefs and the willingness to follow the voice of the heart, even if it means abandoning previous paths."
"gVUyJD","hungary_pl","Abigél (regény)","Q480270","pl","hungary","gpt","Czasami to, co wydaje się ograniczeniem, może okazać się ochroną i szansą na rozwój, a prawdziwi przyjaciele i sojusznicy mogą kryć się tam, gdzie najmniej się ich spodziewamy.","Sometimes what seems like a limitation can turn out to be protection and an opportunity for growth, and true friends and allies may be hiding where we least expect them."
"qvGouw","korea_pl","마당을 나온 암탉
","Q18880605","pl","korea","gpt","Poświęcenie dla innych i opieka nad słabszymi przynosi prawdziwe spełnienie, nawet jeśli wymaga to osobistego poświęcenia.","Dedication to others and caring for the weaker brings true fulfillment, even if it requires personal sacrifice."
"kxSWQG","unitedstates_pl","Time for the Stars","Q2666125","pl","unitedstates","gpt","Nawet w obliczu trudności i niepewności, warto dążyć do odkryć i postępu, ponieważ mogą one przynieść nieoczekiwane rozwiązania i nowe możliwości.","Even in the face of difficulties and uncertainty, it is worth striving for discoveries and progress, as they can bring unexpected solutions and new opportunities."
"AZmftD","italy_pt","La donna dei fiori di carta","Q3822099","pt","italy","gpt","O amor verdadeiro muitas vezes exige sacrifício e renúncia, e mesmo em tempos de guerra e adversidade, a empatia e a compreensão podem criar laços duradouros.","True love often requires sacrifice and renunciation, and even in times of war and adversity, empathy and understanding can create lasting bonds."
"vgROfB","germany_pt","Der Untergang","Q1197714","pt","germany","gpt","A moral da história é que devemos estar atentos às influências sedutoras e enganosas que podem nos desviar do nosso caminho e enfraquecer nossa essência, pois nem tudo que parece atraente é verdadeiramente benéfico.","The moral of the story is that we must be aware of the seductive and deceptive influences that can lead us astray and weaken our essence, for not everything that seems attractive is truly beneficial."
"EcpGjj","france_pt","Les Petits Enfants du siècle","Q1741761","pt","france","gpt","A moral da história é que, mesmo diante de dificuldades e responsabilidades pesadas, é possível encontrar novos caminhos e oportunidades que podem levar a uma vida mais plena e realizada.","The moral of the story is that, even in the face of difficulties and heavy responsibilities, it is possible to find new paths and opportunities that can lead to a fuller and more fulfilled life."
"oMQFWE","poland_pt","Astronauci","Q931113","pt","poland","gpt","A busca pelo poder e a divisão entre facções podem levar à autodestruição de uma civilização, destacando a importância da união e da paz para a sobrevivência da humanidade.","The pursuit of power and the division between factions can lead to the self-destruction of a civilization, highlighting the importance of unity and peace for the survival of humanity."
"niQmSQ","japan_pt","砂の女","Q6455599","pt","japan","gpt","A história nos ensina que, mesmo nas situações mais difíceis e inesperadas, a adaptação e a solidariedade podem transformar a perspectiva de vida e criar laços significativos com a comunidade ao nosso redor.","History teaches us that, even in the most difficult and unexpected situations, adaptation and solidarity can transform our perspective on life and create meaningful bonds with the community around us."
"VXOKhA","israel_pt","רצח בדרך בית לחם","Q5708155","pt","israel","gpt","A busca pela verdade e justiça pode revelar segredos profundos e complexos, mas é essencial enfrentar o passado para construir um futuro mais justo e compreensivo.","The pursuit of truth and justice can uncover deep and complex secrets, but it is essential to confront the past to build a fairer and more understanding future."
"KHcFzt","brazil_pt","Leite Derramado","Q6520356","pt","brazil","gpt","A incapacidade de enfrentar preconceitos e ciúmes pode levar à decadência pessoal e à infelicidade, mesmo diante das lições que a vida oferece.","The inability to confront prejudices and jealousy can lead to personal decline and unhappiness, even in the face of life's lessons."
"HxSUzq","sweden_pt","Juloratoriet","Q10541297","pt","sweden","gpt","A história nos ensina que a incapacidade de lidar com a perda e o apego ao passado podem levar à destruição pessoal e à perda de conexões significativas no presente.","History teaches us that the inability to deal with loss and attachment to the past can lead to personal destruction and the loss of meaningful connections in the present."
"QNYdfB","netherlands_pt","De Cock en een strop voor Bobby","Q2396544","pt","netherlands","gpt","A justiça nem sempre segue o caminho tradicional, mas proteger aqueles que amamos pode exigir medidas drásticas e coragem para enfrentar as consequências.","Justice does not always follow the traditional path, but protecting those we love may require drastic measures and courage to face the consequences."
"Nbmeeh","czechrepublic_pt","Konec punku v Helsinkách","Q12030020","pt","czechrepublic","gpt","As escolhas impulsivas e a rebeldia sem reflexão podem levar a consequências trágicas e arrependimentos duradouros.","Impulsive choices and unreflective rebellion can lead to tragic consequences and lasting regrets."
"rpiiYu","egypt_pt","عزازيل (رواية)
","Q8134681","pt","egypt","gpt","A moral da história é que a busca pela verdade e autoconhecimento pode levar a conflitos internos e dúvidas, mas é essencial para encontrar a liberdade e a paz interior.","The moral of the story is that the pursuit of truth and self-knowledge can lead to internal conflicts and doubts, but it is essential to find freedom and inner peace."
"YSbebC","hungary_pt","Abigél (regény)","Q480270","pt","hungary","gpt","A verdadeira maturidade vem quando aprendemos a aceitar sacrifícios e responsabilidades, reconhecendo o valor da solidariedade e da comunidade em tempos de adversidade.","True maturity comes when we learn to accept sacrifices and responsibilities, recognizing the value of solidarity and community in times of adversity."
